,county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population
1720,Lampasas,Lampasas,Lampasas County,48281,TX,Texas,-7.085128723062073,-6.582942039240919,21829
1721,Wyandot,Wyandot,Wyandot County,39175,OH,Ohio,2.5610712769379234,8.354157960759082,21818
1722,Colusa,Colusa,Colusa County,6011,CA,California,0.8961712769379275,-30.57844203924091,21811
1723,Tippah,Tippah,Tippah County,28139,MS,Mississippi,-3.5129287230620747,2.7496579607590803,21769
1724,McDuffie,McDuffie,McDuffie County,13189,GA,Georgia,-4.798528723062077,9.17715796075909,21715
1725,Boone,Boone,Boone County,54005,WV,West Virginia,-0.25842872306207454,9.947057960759082,21705
1726,Sevier,Sevier,Sevier County,49041,UT,Utah,0.46637127693792735,-20.14604203924091,21667
1727,Gage,Gage,Gage County,31067,NE,Nebraska,1.9805712769379227,-5.030842039240923,21654
1728,Llano,Llano,Llano County,48299,TX,Texas,-7.5755287230620745,-7.025542039240918,21637
1729,Mitchell,Mitchell,Mitchell County,13205,GA,Georgia,-7.056028723062074,7.464257960759085,21634
1730,Hertford,Hertford,Hertford County,37091,NC,North Carolina,-1.9222287230620765,14.676557960759084,21633
1731,Minidoka,Minidoka,Minidoka County,16067,ID,Idaho,4.572971276937928,-21.97894203924092,21626
1732,Stutsman,Stutsman,Stutsman County,38093,ND,North Dakota,8.697971276937928,-7.3002420392409135,21609
1733,Scott,Scott,Scott County,51169,VA,Virginia,-1.567028723062073,9.055657960759078,21536
1734,Gaines,Gaines,Gaines County,48165,TX,Texas,-5.540528723062074,-10.976642039240915,21523
1735,Hockley,Hockley,Hockley County,48219,TX,Texas,-4.6737287230620765,-10.684642039240913,21495
1736,Letcher,Letcher,Letcher County,21133,KY,Kentucky,-1.1601287230620727,8.803257960759083,21490
1737,Hubbard,Hubbard,Hubbard County,27057,MN,Minnesota,8.827271276937928,-3.2580420392409195,21479
1738,Grenada,Grenada,Grenada County,28043,MS,Mississippi,-4.511428723062075,1.8565579607590763,21474
1739,Clark,Clark,Clark County,5019,AR,Arkansas,-4.2303287230620725,-1.517842039240918,21469
1740,Fayette,Fayette,Fayette County,17051,IL,Illinois,0.7188712769379251,2.634457960759079,21464
1741,Jersey,Jersey,Jersey County,17083,IL,Illinois,0.8041712769379288,1.302057960759086,21462
1742,Wabasha,Wabasha,Wabasha County,27157,MN,Minnesota,6.002971276937927,-0.5717420392409167,21460
1743,Taylor,Taylor,Taylor County,12123,FL,Florida,-8.234328723062074,8.055057960759086,21421
1744,Madison,Madison,Madison County,37115,NC,North Carolina,-2.4233287230620775,8.952757960759087,21414
1745,Owen,Owen,Owen County,18119,IN,Indiana,1.0314712769379284,4.820857960759085,21361
1746,Leake,Leake,Leake County,28079,MS,Mississippi,-5.527828723062072,2.134557960759082,21335
1747,Dakota,Dakota,Dakota County,31043,NE,Nebraska,4.109871276937923,-4.906042039240916,21308
1748,Logan,Logan,Logan County,8075,CO,Colorado,2.443371276937924,-11.45154203924092,21302
1749,Moore,Moore,Moore County,48341,TX,Texas,-2.4436287230620763,-10.234442039240918,21284
1750,Newton,Newton,Newton County,28101,MS,Mississippi,-5.881128723062076,2.53975796075909,21275
1751,Gray,Gray,Gray County,48179,TX,Texas,-2.8801287230620716,-9.15404203924092,21272
1752,Coahoma,Coahoma,Coahoma County,28027,MS,Mississippi,-4.051328723062078,1.0567579607590858,21264
1753,Fillmore,Fillmore,Fillmore County,27045,MN,Minnesota,5.392671276937925,-0.4316420392409128,21251
1754,Logan,Logan,Logan County,5083,AR,Arkansas,-3.0664287230620744,-2.0580420392409167,21247
1755,Wyoming,Wyoming,Wyoming County,54109,WV,West Virginia,-0.6717287230620741,10.109357960759084,21237
1756,Bandera,Bandera,Bandera County,48019,TX,Texas,-8.534128723062075,-7.587742039240922,21182
1757,Morgan,Morgan,Morgan County,29141,MO,Missouri,0.14237127693792218,-1.2274420392409127,21169
1758,Clinton,Clinton,Clinton County,29049,MO,Missouri,1.3204712769379228,-2.746042039240919,21155
1759,Texas,Texas,Texas County,40139,OK,Oklahoma,-1.5334287230620731,-9.831542039240915,21144
1760,Nodaway,Nodaway,Nodaway County,29147,MO,Missouri,2.079371276937927,-3.2248420392409116,21140
1761,Morgan,Morgan,Morgan County,47129,TN,Tennessee,-2.1463287230620764,7.00935796075909,21124
1762,Assumption,Assumption,Assumption Parish,22007,LA,Louisiana,-8.378928723062074,0.5977579607590826,21067
1763,Union,Union,Union Parish,22111,LA,Louisiana,-5.449528723062073,-0.7162420392409103,21049
1764,Shelby,Shelby,Shelby County,17173,IL,Illinois,1.109771276937927,2.853057960759088,21042
1765,Perry,Perry,Perry County,17145,IL,Illinois,-0.19762872306207413,2.2915579607590786,20996
1766,Jackson,Jackson,Jackson County,55053,WI,Wisconsin,6.037871276937928,0.8533579607590838,20958
1767,Fairfield,Fairfield,Fairfield County,45039,SC,South Carolina,-3.886228723062075,10.537357960759081,20942
1768,Dodge,Dodge,Dodge County,27039,MN,Minnesota,5.741271276937923,-1.203542039240915,20893
1769,Washington,Washington,Washington County,31177,NE,Nebraska,3.2497712769379277,-4.563442039240911,20884
1770,Ogemaw,Ogemaw,Ogemaw County,26129,MI,Michigan,6.053671276937926,7.532157960759079,20820
1771,Sullivan,Sullivan,Sullivan County,18153,IN,Indiana,0.807571276937928,4.243857960759087,20791
1772,Conway,Conway,Conway County,5029,AR,Arkansas,-3.018928723062075,-1.0428420392409237,20782
1773,Allen,Allen,Allen County,21003,KY,Kentucky,-1.530028723062074,5.468157960759086,20773
1774,Jones,Jones,Jones County,19105,IA,Iowa,3.8398712769379273,0.5270579607590804,20733
1775,Adams,Adams,Adams County,55001,WI,Wisconsin,5.688271276937925,1.888157960759088,20730
1776,Carroll,Carroll,Carroll County,19027,IA,Iowa,3.7548712769379264,-3.201942039240919,20728
1777,Worth,Worth,Worth County,13321,GA,Georgia,-6.729828723062074,7.807657960759087,20706
1778,Buena Vista,Buena Vista,Buena Vista County,19021,IA,Iowa,4.454171276937927,-3.4925420392409166,20687
1779,Meriwether,Meriwether,Meriwether County,13199,GA,Georgia,-5.240728723062077,6.970257960759085,20679
1780,Barnwell,Barnwell,Barnwell County,45011,SC,South Carolina,-5.015228723062073,10.223657960759084,20653
1781,Pointe Coupee,Pointe Coupee,Pointe Coupee Parish,22077,LA,Louisiana,-7.571828723062076,0.057757960759076354,20652
1782,Greene,Greene,Greene County,51079,VA,Virginia,0.016271276937928292,13.191657960759088,20631
1783,Buchanan,Buchanan,Buchanan County,19019,IA,Iowa,4.1894712769379225,-0.17934203924092174,20631
1784,Hutchinson,Hutchinson,Hutchinson County,48233,TX,Texas,-2.441328723062071,-9.696142039240911,20595
1785,Colorado,Colorado,Colorado County,48089,TX,Texas,-8.660528723062075,-4.867742039240923,20582
1786,Kewaunee,Kewaunee,Kewaunee County,55061,WI,Wisconsin,6.234771276937927,4.043257960759078,20570
1787,Adams,Adams,Adams County,53001,WA,Washington,8.702071276937929,-26.90204203924091,20557
1788,Uinta,Uinta,Uinta County,56041,WY,Wyoming,3.006271276937923,-18.88904203924092,20546
1789,Dukes,Dukes,Dukes County,25007,MA,Massachusetts,3.1147712769379226,21.008557960759077,20543
1790,Breckinridge,Breckinridge,Breckinridge County,21027,KY,Kentucky,-0.5079287230620722,5.229257960759085,20528
